epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,608.067,1.11214,0.64131,0.99853,0.88548,0.000332772,0.000332772,0.000332772
2,1071.2,0.89381,0.6935,0.99853,0.86787,0.000652917,0.000652917,0.000652917
3,1496.01,0.8756,0.70011,0.9989,0.81921,0.000959861,0.000959861,0.000959861
4,1923.87,0.85522,0.73502,0.99926,0.72822,0.0009406,0.0009406,0.0009406
5,2348.09,0.80013,0.72804,0.99926,0.76195,0.0009208,0.0009208,0.0009208
6,2778.53,0.77982,0.75083,0.9989,0.68798,0.000901,0.000901,0.000901
7,3212.18,0.76139,0.74201,0.99963,0.68483,0.0008812,0.0008812,0.0008812
8,3648.35,0.74433,0.76957,0.9989,0.64607,0.0008614,0.0008614,0.0008614
9,4264.49,0.74063,0.73613,0.99926,0.69892,0.0008416,0.0008416,0.0008416
10,4822.17,0.72254,0.75781,0.9989,0.66808,0.0008218,0.0008218,0.0008218
11,5384.67,0.71445,0.77619,0.9989,0.64345,0.000802,0.000802,0.000802
12,5933.48,0.70247,0.75781,0.99926,0.6442,0.0007822,0.0007822,0.0007822
13,6473.97,0.69216,0.77766,0.9989,0.65744,0.0007624,0.0007624,0.0007624
14,7288,0.6708,0.76957,0.99926,0.62642,0.0007426,0.0007426,0.0007426
15,8339.03,0.66465,0.77325,0.99926,0.62682,0.0007228,0.0007228,0.0007228
16,9369.7,0.65642,0.7806,0.99963,0.60622,0.000703,0.000703,0.000703
17,10392.6,0.66169,0.77949,1,0.62362,0.0006832,0.0006832,0.0006832
18,11410.7,0.64283,0.767,0.99926,0.6235,0.0006634,0.0006634,0.0006634
19,12428.7,0.64419,0.7839,0.9989,0.61945,0.0006436,0.0006436,0.0006436
20,13459.6,0.61857,0.77729,0.99926,0.61623,0.0006238,0.0006238,0.0006238
21,14496.3,0.62524,0.78207,0.99926,0.58286,0.000604,0.000604,0.000604
22,15526.3,0.62009,0.77766,0.99963,0.63184,0.0005842,0.0005842,0.0005842
23,16554.6,0.59663,0.78427,0.99926,0.59356,0.0005644,0.0005644,0.0005644
24,17564.6,0.60217,0.78942,0.99926,0.57054,0.0005446,0.0005446,0.0005446
25,18068.8,0.58599,0.78611,0.99926,0.57029,0.0005248,0.0005248,0.0005248
26,18575.7,0.5811,0.80081,0.99963,0.56583,0.000505,0.000505,0.000505
27,18984.9,0.57822,0.79052,0.99926,0.56908,0.0004852,0.0004852,0.0004852
28,19394.6,0.56302,0.79677,0.99963,0.60189,0.0004654,0.0004654,0.0004654
29,19804.5,0.55792,0.78942,0.99926,0.59452,0.0004456,0.0004456,0.0004456
30,20211.7,0.55463,0.80007,0.99963,0.5566,0.0004258,0.0004258,0.0004258
31,20619.4,0.54995,0.79236,0.99926,0.58285,0.000406,0.000406,0.000406
32,21025.8,0.53994,0.7953,1,0.57159,0.0003862,0.0003862,0.0003862
33,21435.8,0.52453,0.80044,0.9989,0.56021,0.0003664,0.0003664,0.0003664
34,21849,0.51613,0.80154,0.99926,0.5582,0.0003466,0.0003466,0.0003466
35,22263.6,0.51466,0.81,0.99926,0.56365,0.0003268,0.0003268,0.0003268
36,22675.4,0.49583,0.80191,0.99963,0.57335,0.000307,0.000307,0.000307
37,23086.3,0.50197,0.79383,0.99926,0.56483,0.0002872,0.0002872,0.0002872
38,23499.5,0.49013,0.80485,0.99963,0.56306,0.0002674,0.0002674,0.0002674
39,23916.1,0.47512,0.80375,0.99963,0.56195,0.0002476,0.0002476,0.0002476
40,24328.7,0.47904,0.80742,1,0.56046,0.0002278,0.0002278,0.0002278
41,24739.1,0.45967,0.80853,0.99963,0.61312,0.000208,0.000208,0.000208
42,25151,0.45719,0.80448,1,0.56786,0.0001882,0.0001882,0.0001882
43,25564.8,0.44398,0.80338,1,0.55983,0.0001684,0.0001684,0.0001684
44,25980,0.43914,0.80007,1,0.56442,0.0001486,0.0001486,0.0001486
45,26390.7,0.43841,0.80338,0.99963,0.57371,0.0001288,0.0001288,0.0001288
46,26802.8,0.42227,0.80265,1,0.58117,0.000109,0.000109,0.000109
47,27216.3,0.41856,0.80265,1,0.58598,8.92e-05,8.92e-05,8.92e-05
48,27629,0.40624,0.80412,0.99963,0.61297,6.94e-05,6.94e-05,6.94e-05
49,28041.2,0.41238,0.80522,1,0.5755,4.96e-05,4.96e-05,4.96e-05
50,28454.3,0.4052,0.80963,1,0.58038,2.98e-05,2.98e-05,2.98e-05
